,pid,condition,day,block,fatigue,concentrate,difficulty,prediction
0,P11,continuous,Day1,0,3,6,5,70
1,P11,continuous,Day1,1,4,5,6,65
2,P11,continuous,Day1,2,3,4,4,80
3,P11,continuous,Day1,3,3,4,3,85
4,P11,continuous,Day1,4,6,3,2,80
0,P11,continuous,Day2,0,3,4,6,70
1,P11,continuous,Day2,1,4,5,4,80
2,P11,continuous,Day2,2,3,5,3,85
3,P11,continuous,Day2,3,3,5,3,85
4,P11,continuous,Day2,4,3,5,4,80
0,P11,continuous,Day3,0,3,5,5,80
1,P11,continuous,Day3,1,4,4,4,80
2,P11,continuous,Day3,2,4,5,4,80
3,P11,continuous,Day3,3,5,5,3,90
4,P11,continuous,Day3,4,3,5,3,90
