,pid,condition,day,block,fatigue,concentrate,difficulty,prediction
0,P08,control,Day1,0,2,5,6,70
1,P08,control,Day1,1,2,5,6,70
2,P08,control,Day1,2,3,5,6,65
3,P08,control,Day1,3,3,5,6,65
4,P08,control,Day1,4,3,4,6,60
0,P08,control,Day2,0,2,6,6,70
1,P08,control,Day2,1,2,5,5,70
2,P08,control,Day2,2,3,5,6,65
3,P08,control,Day2,3,3,5,6,65
4,P08,control,Day2,4,3,5,6,65
0,P08,control,Day3,0,2,6,5,75
1,P08,control,Day3,1,2,6,5,75
2,P08,control,Day3,2,2,6,5,85
3,P08,control,Day3,3,2,6,5,85
4,P08,control,Day3,4,2,6,5,80
