,pid,condition,day,block,fatigue,concentrate,difficulty,prediction
0,P01,continuous,Day1,0,5,6,5,65
1,P01,continuous,Day1,1,6,2,6,51
2,P01,continuous,Day1,2,5,6,5,70
3,P01,continuous,Day1,3,4,5,3,75
4,P01,continuous,Day1,4,5,3,5,61
0,P01,continuous,Day2,0,3,4,5,75
1,P01,continuous,Day2,1,5,4,4,68
2,P01,continuous,Day2,2,5,3,5,60
3,P01,continuous,Day2,3,5,3,5,67
4,P01,continuous,Day2,4,4,5,3,70
0,P01,continuous,Day3,0,6,3,5,70
1,P01,continuous,Day3,1,5,3,4,71
2,P01,continuous,Day3,2,5,5,3,65
3,P01,continuous,Day3,3,5,3,5,65
4,P01,continuous,Day3,4,6,5,5,60
