,pid,condition,day,block,fatigue,concentrate,difficulty,prediction
0,P15,control,Day1,0,5,6,6,70
1,P15,control,Day1,1,5,5,5,70
2,P15,control,Day1,2,6,4,5,65
3,P15,control,Day1,3,5,5,4,80
4,P15,control,Day1,4,6,5,5,80
0,P15,control,Day2,0,4,4,6,65
1,P15,control,Day2,1,4,4,5,65
2,P15,control,Day2,2,5,5,4,70
3,P15,control,Day2,3,5,6,6,65
4,P15,control,Day2,4,6,5,6,70
0,P15,control,Day3,0,4,4,5,65
1,P15,control,Day3,1,4,5,4,70
2,P15,control,Day3,2,5,5,4,70
3,P15,control,Day3,3,5,5,4,70
4,P15,control,Day3,4,5,5,4,70
