,pid,condition,day,block,fatigue,concentrate,difficulty,prediction
0,P10,control,Day1,0,,,,50
1,P10,control,Day1,1,,,,50
2,P10,control,Day1,2,,,,50
3,P10,control,Day1,3,,,,40
4,P10,control,Day1,4,6,2,6,40
0,P10,control,Day2,0,1,6,4,70
1,P10,control,Day2,1,1,6,3,70
2,P10,control,Day2,2,2,6,4,70
3,P10,control,Day2,3,2,6,4,70
4,P10,control,Day2,4,3,5,4,70
0,P10,control,Day3,0,5,2,5,60
1,P10,control,Day3,1,6,2,4,60
2,P10,control,Day3,2,6,2,5,60
3,P10,control,Day3,3,6,2,5,55
4,P10,control,Day3,4,6,2,5,50
