,pid,condition,day,block,fatigue,concentrate,difficulty,prediction
0,P16,continuous,Day1,0,4,4,4,45
1,P16,continuous,Day1,1,4,4,4,55
2,P16,continuous,Day1,2,4,4,4,50
3,P16,continuous,Day1,3,4,4,4,55
4,P16,continuous,Day1,4,4,4,4,55
0,P16,continuous,Day2,0,2,5,4,60
1,P16,continuous,Day2,1,4,5,3,55
2,P16,continuous,Day2,2,5,4,5,50
3,P16,continuous,Day2,3,4,3,5,40
4,P16,continuous,Day2,4,5,4,3,55
0,P16,continuous,Day3,0,4,4,5,45
1,P16,continuous,Day3,1,4,4,4,50
2,P16,continuous,Day3,2,4,4,5,50
3,P16,continuous,Day3,3,4,4,4,55
4,P16,continuous,Day3,4,4,3,4,50
