,pid,condition,day,block,fatigue,concentrate,difficulty,prediction
0,P05,continuous,Day1,0,5,3,7,40
1,P05,continuous,Day1,1,5,4,7,30
2,P05,continuous,Day1,2,5,4,6,40
3,P05,continuous,Day1,3,6,3,6,40
4,P05,continuous,Day1,4,6,4,6,45
0,P05,continuous,Day2,0,4,3,6,30
1,P05,continuous,Day2,1,3,5,5,40
2,P05,continuous,Day2,2,3,5,6,40
3,P05,continuous,Day2,3,4,4,6,35
4,P05,continuous,Day2,4,4,4,6,35
0,P05,continuous,Day3,0,3,4,6,35
1,P05,continuous,Day3,1,3,4,6,35
2,P05,continuous,Day3,2,4,4,6,35
3,P05,continuous,Day3,3,4,3,6,30
4,P05,continuous,Day3,4,4,3,6,30
