,pid,condition,day,block,fatigue,concentrate,difficulty,prediction
0,P17,control,Day1,0,3,4,5,70
1,P17,control,Day1,1,3,3,4,70
2,P17,control,Day1,2,5,3,3,75
3,P17,control,Day1,3,5,3,3,75
4,P17,control,Day1,4,5,3,3,75
0,P17,control,Day2,0,2,5,3,70
1,P17,control,Day2,1,4,4,4,75
2,P17,control,Day2,2,5,4,4,75
3,P17,control,Day2,3,5,3,3,75
4,P17,control,Day2,4,5,3,3,75
0,P17,control,Day3,0,2,6,3,75
1,P17,control,Day3,1,2,5,3,75
2,P17,control,Day3,2,2,5,3,75
3,P17,control,Day3,3,3,5,3,70
4,P17,control,Day3,4,3,5,3,70
