,pid,condition,day,block,fatigue,concentrate,difficulty,prediction
0,P13,control,Day1,0,5,3,6,70
1,P13,control,Day1,1,4,4,5,70
2,P13,control,Day1,2,5,5,4,70
3,P13,control,Day1,3,6,4,5,70
4,P13,control,Day1,4,6,4,5,65
0,P13,control,Day2,0,4,5,5,65
1,P13,control,Day2,1,5,4,5,70
2,P13,control,Day2,2,5,4,5,70
3,P13,control,Day2,3,5,4,5,70
4,P13,control,Day2,4,6,3,5,70
0,P13,control,Day3,0,4,5,5,70
1,P13,control,Day3,1,4,5,4,70
2,P13,control,Day3,2,5,5,5,65
3,P13,control,Day3,3,5,4,5,70
4,P13,control,Day3,4,5,4,5,70
