,pid,condition,day,block,fatigue,concentrate,difficulty,prediction
0,P03,continuous,Day1,0,1,6,6,40
1,P03,continuous,Day1,1,2,6,7,40
2,P03,continuous,Day1,2,2,6,6,40
3,P03,continuous,Day1,3,3,6,7,50
4,P03,continuous,Day1,4,3,5,6,50
0,P03,continuous,Day2,0,2,6,5,50
1,P03,continuous,Day2,1,4,5,6,20
2,P03,continuous,Day2,2,3,5,6,50
3,P03,continuous,Day2,3,3,5,6,40
4,P03,continuous,Day2,4,3,6,6,50
0,P03,continuous,Day3,0,3,6,5,60
1,P03,continuous,Day3,1,5,5,6,50
2,P03,continuous,Day3,2,3,5,6,50
3,P03,continuous,Day3,3,2,6,6,50
4,P03,continuous,Day3,4,2,5,5,60
