,pid,condition,day,block,fatigue,concentrate,difficulty,prediction
0,P14,control,Day1,0,6,3,6,75
1,P14,control,Day1,1,6,3,6,80
2,P14,control,Day1,2,6,3,6,78
3,P14,control,Day1,3,6,3,6,75
4,P14,control,Day1,4,6,2,6,75
0,P14,control,Day2,0,3,5,6,75
1,P14,control,Day2,1,4,3,5,80
2,P14,control,Day2,2,3,3,6,80
3,P14,control,Day2,3,5,3,5,75
4,P14,control,Day2,4,6,3,5,72
0,P14,control,Day3,0,3,5,5,80
1,P14,control,Day3,1,4,4,5,80
2,P14,control,Day3,2,5,3,5,75
3,P14,control,Day3,3,5,3,5,78
4,P14,control,Day3,4,5,3,5,75
